px_est	py_est	vel_abs_est	yaw_angle_est	yaw_rate_est	px_meas	py_meas	px_gt	py_gt	vx_gt	vy_gt	nis_lidar	nis_radar
6.305715280684417	-0.13324081683267608	-1.2084593221659572	0.07554616542787523	-0.1339537262622354	6.745850582158622	-0.14318463636223014	6.95	-0.15	-1.81898	-1.81898	11.847887533633761	7.264465986399589
6.592682447806571	-0.24174976977222823	-0.43124758185763745	0.16457346101827797	-0.08045704675982555	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897	13.094383161616499	7.264465986399589
6.1119728654846766	-0.3097542904583732	-1.1951355919295987	0.028319899487681363	-0.18822595805180767	6.6696566998487254	-0.3466682877954227	6.75	-0.349999	-2.00076	-2.00075	13.094383161616499	17.507057027510182
6.3880464962883305	-0.4391686332656992	-0.5634149773920051	0.161148556861613	-0.06072814306605656	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075	12.050575604692515	17.507057027510182
6.1873885433112275	-0.5033831803318005	-0.63294725620847	0.1612310505375655	-0.05592850755476144	6.6086155533789634	-0.5570347117888161	6.6	-0.549999	-0.998836	-1.99769	12.050575604692515	3.256220371018853
6.384180650937894	-0.6260180818270908	-0.21254172305192265	0.38575559791666825	0.09302957319733088	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769	5.197629822310309	3.256220371018853
6.26399912343942	-0.7435726105166395	-0.3264310764371663	0.5814477401757139	0.16244700091760847	6.406959183453424	-0.8429205955852803	6.5	-0.85	-0.908747	-3.63498	5.197629822310309	0.8733203561002943
6.36959474535602	-0.9703085241116003	-0.22875749725103875	1.3589718970505962	0.5208072844009177	6.45805	-1.05268	6.45	-1.05	-0.908739	-3.63494	2.0240179598567725	0.8733203561002943
6.219323084260693	-0.9745409304807852	-0.10821867554312528	0.5146692071116097	-0.2372779823566511	6.386257700641508	-1.156952213834711	6.35	-1.15	-1.81897	-1.81898	2.0240179598567725	14.771518945191378
6.203041580815597	-1.1363665168306154	-0.20128784554657148	0.8970830533512687	-0.02941323848144156	6.25499	-1.25007	6.25	-1.25	-1.81896	-1.81896	1.583543980492612	14.771518945191378
6.552004413794859	-1.3261283031503555	0.1907507846566764	3.060247441730137	1.054027154146556	6.431251095509907	-1.4814808297452355	6.3	-1.45	0.909739	-3.63894	1.583543980492612	23.464739279552543
6.444142905532999	-1.5185611829647718	0.2121210311966759	4.255777712366694	1.3064821769182302	6.36328	-1.65656	6.35	-1.65	0.909727	-3.63891	2.5426596432378186	23.464739279552543
6.369457036602095	-1.6327681587903065	0.28815013250197347	4.6445977612234435	1.1470866522618033	6.322803053579663	-1.8143095952024544	6.3	-1.8	-0.999494	-2.9985	2.5426596432378186	2.1387235320880342
6.283877149240545	-1.883518066639935	0.5445290546584771	4.821525024918026	0.9782318174966199	6.24641	-1.95075	6.25	-1.95	-0.999489	-2.99847	0.9900616867110743	2.1387235320880342
6.664804123011781	-2.31640388826312	0.9212750341028678	6.510889517344195	1.5672277357008122	6.31851130739266	-2.1096914576428216	6.3	-2.1	0.999984	-2.99994	0.9900616867110743	9.205870670500612
6.450998299225485	-2.230350946349923	0.7166558387140576	7.7822545684666045	1.8195539583359057	6.34644	-2.23829	6.35	-2.25	0.999979	-2.99994	2.348760525075073	9.205870670500612
6.482162949472641	-2.368594412609567	-0.0002155066881565082	8.547034976585405	1.663681260225494	6.325926044161973	-2.400182160877222	6.35	-2.4	0.0	-2.72613	2.348760525075073	5.582551390062634
6.407407145006442	-2.453888446970258	-0.07712351674659287	9.827124894354728	1.8003713571712614	6.34927	-2.55175	6.35	-2.55	0.0	-2.72611	1.1879391153761876	5.582551390062634
6.356154580754058	-2.58949919018716	0.48806995906396633	9.645811827135535	1.2115589686969575	6.431254075023492	-2.718779800736669	6.4	-2.7	0.909499	-2.72851	1.1879391153761876	35.88080406687452
6.373829345229641	-2.7606319824456707	0.3557487095927957	11.198356000468749	1.6190540159529472	6.43257	-2.84245	6.45	-2.85	0.909503	-2.72851	1.2888188294245355	35.88080406687452
6.55587191595616	-3.098575989257643	0.9422331032583326	12.215148198482193	1.763427970544761	6.465361052977219	-3.0045241951173094	6.45	-3.0	0.0	-2.99754	1.2888188294245355	6.023059707142157
6.476503098643738	-3.149854451557152	0.87157509115939	12.958154655111539	1.7201861674248529	6.44119	-3.14955	6.45	-3.15	0.0	-2.99754	0.4464087424208932	6.023059707142157
7.017080245415958	-3.66125940226788	0.43473798857608714	11.808178657726728	0.43676214085558573	6.522490186761543	-3.3200652799605277	6.5	-3.3	0.910402	-2.7312	0.4464087424208932	17.235712915384187
6.6741974646978806	-3.5230749595339157	-0.22584344274230894	12.302320159360598	0.43875772067879826	6.5453	-3.45745	6.55	-3.45	0.910402	-2.7312	4.668518290760277	17.235712915384187
7.256928479312302	-3.7094961384947926	1.2778235009085686	13.33144884822148	0.8593520071274676	6.635801368560123	-3.5919659738109435	6.65	-3.6	1.81722	-2.72583	4.668518290760277	44.39798294076635
6.833339860864952	-3.6841981037979856	0.9889566428840488	14.410942925135917	1.22806785171843	6.76011	-3.75457	6.75	-3.75	1.81721	-2.72581	3.932305013773398	44.39798294076635
7.0916576309687915	-3.9210930091031115	-0.5038696934017247	14.517992850867666	0.9028483325799177	6.836250042254813	-3.927230749493984	6.8	-3.9	0.907988	-2.72396	3.932305013773398	29.671640903532495
7.015501644132885	-4.030187060896564	-0.33502821987921255	15.026445786133138	0.7752727582237677	6.85997	-4.05805	6.85	-4.05	0.907976	-2.72393	2.4704517314115026	29.671640903532495
7.444755487262074	-4.419410001416418	-1.1999357527895118	14.943959185128449	0.4022081861700385	6.869429816755845	-4.185066136820989	6.9	-4.2	0.909334	-2.72801	2.4704517314115026	22.90275525455192
7.025554095234461	-4.3964698646501175	-0.8914002255265302	14.761476624905281	0.21961450486861744	6.94332	-4.34473	6.95	-4.35	0.90933	-2.72799	3.5721629988657844	22.90275525455192
7.416519728665212	-4.762404158911392	-1.2847347597858152	15.077922573634337	0.3797930679460432	7.051564585347624	-4.497062279830155	7.0	-4.45	0.910054	-1.8201	3.5721629988657844	6.495533635628314
7.246771382121082	-4.667873737171779	-0.5762002590349133	15.262167920351695	0.4262963354893777	7.04099	-4.55018	7.05	-4.55	0.910054	-1.8201	10.976256534400644	6.495533635628314
7.699438129585723	-5.001458368240599	-1.320750972007744	15.047541832223322	0.023448022491693643	7.102520614236387	-4.679337580517905	7.1	-4.7	0.908302	-2.72489	10.976256534400644	21.127632135843367
7.335491146948714	-4.995042834605494	-0.6161707052075672	14.830884364543488	-0.1388982912561642	7.14735	-4.86125	7.15	-4.85	0.908297	-2.72489	11.647521102587666	21.127632135843367
7.950404664975408	-5.478344042247382	-1.7942075551442502	15.296504311415363	0.3422741595033565	7.313794862977399	-5.052037337815846	7.25	-5.0	1.81907	-2.72861	11.647521102587666	37.5881887832718
